frame,reporte_medico
frame_70000,This is a colonoscopy frame from a patient with no polyps.
frame_70001,This is a colonoscopy frame from a patient with no polyps.
frame_70002,This is a colonoscopy frame from a patient with no polyps.
frame_70003,This is a colonoscopy frame from a patient with no polyps.
frame_70004,This is a colonoscopy frame from a patient with no polyps.
frame_70005,This is a colonoscopy frame from a patient with no polyps.
frame_70006,This is a colonoscopy frame from a patient with no polyps.
frame_70007,This is a colonoscopy frame from a patient with no polyps.
frame_70008,This is a colonoscopy frame from a patient with no polyps.
frame_70009,This is a colonoscopy frame from a patient with no polyps.
frame_70010,This is a colonoscopy frame from a patient with no polyps.
frame_70011,This is a colonoscopy frame from a patient with no polyps.
frame_70012,This is a colonoscopy frame from a patient with no polyps.
frame_70013,This is a colonoscopy frame from a patient with no polyps.
frame_70014,This is a colonoscopy frame from a patient with no polyps.
frame_70015,This is a colonoscopy frame from a patient with no polyps.
frame_70016,This is a colonoscopy frame from a patient with no polyps.
frame_70017,This is a colonoscopy frame from a patient with no polyps.
frame_70018,This is a colonoscopy frame from a patient with no polyps.
frame_70019,This is a colonoscopy frame from a patient with no polyps.
frame_70020,This is a colonoscopy frame from a patient with no polyps.
frame_70021,This is a colonoscopy frame from a patient with no polyps.
frame_70022,This is a colonoscopy frame from a patient with no polyps.
frame_70023,This is a colonoscopy frame from a patient with no polyps.
frame_70024,This is a colonoscopy frame from a patient with no polyps.
frame_70025,This is a colonoscopy frame from a patient with no polyps.
frame_70026,This is a colonoscopy frame from a patient with no polyps.
frame_70027,This is a colonoscopy frame from a patient with no polyps.
frame_70028,This is a colonoscopy frame from a patient with no polyps.
frame_70029,This is a colonoscopy frame from a patient with no polyps.
frame_70030,This is a colonoscopy frame from a patient with no polyps.
frame_70031,This is a colonoscopy frame from a patient with no polyps.
frame_70032,This is a colonoscopy frame from a patient with no polyps.
frame_70033,This is a colonoscopy frame from a patient with no polyps.
frame_70034,This is a colonoscopy frame from a patient with no polyps.
frame_70035,This is a colonoscopy frame from a patient with a pedunculated adenoma polyp measuring 15 mm located in the sigmoid colon.
frame_70036,This is a colonoscopy frame from a patient with a pedunculated adenoma polyp measuring 15 mm located in the sigmoid colon.
frame_70037,This is a colonoscopy frame from a patient with no polyps.
frame_70038,This is a colonoscopy frame from a patient with no polyps.
frame_70039,This is a colonoscopy frame from a patient with no polyps.
frame_70040,This is a colonoscopy frame from a patient with no polyps.
frame_70041,This is a colonoscopy frame from a patient with no polyps.
frame_70042,This is a colonoscopy frame from a patient with no polyps.
frame_70043,This is a colonoscopy frame from a patient with a pedunculated adenoma polyp measuring 15 mm located in the sigmoid colon.
frame_70044,This is a colonoscopy frame from a patient with no polyps.
frame_70045,This is a colonoscopy frame from a patient with no polyps.
frame_70046,This is a colonoscopy frame from a patient with no polyps.
frame_70047,This is a colonoscopy frame from a patient with no polyps.
frame_70048,This is a colonoscopy frame from a patient with no polyps.
frame_70049,This is a colonoscopy frame from a patient with no polyps.
frame_70050,This is a colonoscopy frame from a patient with no polyps.
frame_70051,This is a colonoscopy frame from a patient with no polyps.
frame_70052,This is a colonoscopy frame from a patient with no polyps.
frame_70053,This is a colonoscopy frame from a patient with no polyps.
frame_70054,This is a colonoscopy frame from a patient with no polyps.
frame_70055,This is a colonoscopy frame from a patient with no polyps.
frame_70056,This is a colonoscopy frame from a patient with no polyps.
frame_70057,This is a colonoscopy frame from a patient with no polyps.
frame_70058,This is a colonoscopy frame from a patient with no polyps.
frame_70059,This is a colonoscopy frame from a patient with no polyps.
frame_70060,This is a colonoscopy frame from a patient with no polyps.
frame_70061,This is a colonoscopy frame from a patient with no polyps.
frame_70062,This is a colonoscopy frame from a patient with no polyps.
frame_70063,This is a colonoscopy frame from a patient with no polyps.
frame_70064,This is a colonoscopy frame from a patient with no polyps.
frame_70065,This is a colonoscopy frame from a patient with no polyps.
frame_70066,This is a colonoscopy frame from a patient with no polyps.
frame_70067,This is a colonoscopy frame from a patient with no polyps.
frame_70068,This is a colonoscopy frame from a patient with no polyps.
frame_70069,This is a colonoscopy frame from a patient with no polyps.
frame_70070,This is a colonoscopy frame from a patient with no polyps.
frame_70071,This is a colonoscopy frame from a patient with no polyps.
frame_70072,This is a colonoscopy frame from a patient with no polyps.
frame_70073,This is a colonoscopy frame from a patient with no polyps.
frame_70074,This is a colonoscopy frame from a patient with no polyps.
frame_70075,This is a colonoscopy frame from a patient with no polyps.
frame_70076,This is a colonoscopy frame from a patient with no polyps.
frame_70077,This is a colonoscopy frame from a patient with no polyps.
frame_70078,This is a colonoscopy frame from a patient with no polyps.
frame_70079,This is a colonoscopy frame from a patient with no polyps.
frame_70080,This is a colonoscopy frame from a patient with no polyps.
frame_70081,This is a colonoscopy frame from a patient with no polyps.
frame_70082,This is a colonoscopy frame from a patient with no polyps.
frame_70083,This is a colonoscopy frame from a patient with no polyps.
frame_70084,This is a colonoscopy frame from a patient with no polyps.
frame_70085,This is a colonoscopy frame from a patient with no polyps.
frame_70086,This is a colonoscopy frame from a patient with no polyps.
frame_70087,This is a colonoscopy frame from a patient with no polyps.
frame_70088,This is a colonoscopy frame from a patient with no polyps.
frame_70089,This is a colonoscopy frame from a patient with no polyps.
frame_70090,This is a colonoscopy frame from a patient with no polyps.
frame_70091,This is a colonoscopy frame from a patient with no polyps.
frame_70092,This is a colonoscopy frame from a patient with no polyps.
frame_70093,This is a colonoscopy frame from a patient with no polyps.
frame_70094,This is a colonoscopy frame from a patient with no polyps.
frame_70095,This is a colonoscopy frame from a patient with no polyps.
